RUN	STRATEGY_PLACEMENT	STRATEGY_REALLOCATION	SCHEDULE_ID	DOMAIN_SIZES_SET 	 Migrations	Overload Mig.	avg. srv. count	cpu violations	cpu accumulation	min. servers	max. servers	slot count	avg. srv. utilization	initial placement duration	runtime
0	firstFitDemand	None	20202	0 	 0.000000 	 0.000000 	 4.050784 	 3897.000000 	 3107215 	 0 	 6 	 52694 	 34.282745 	 3 	 39026
0	firstFit	None	20004	0 	 0.000000 	 0.000000 	 5.011157 	 0.000000 	 2688314 	 0 	 6 	 71005 	 18.987899 	 4 	 42508
0	firstFitDemand	dsapp	20103	0 	 12.000000 	 0.000000 	 1.974637 	 461.000000 	 2308061 	 0 	 5 	 29160 	 41.069998 	 72 	 44302
0	firstFit	dsapp	20000	0 	 21.000000 	 0.000000 	 2.791157 	 459.000000 	 3151792 	 0 	 5 	 36400 	 46.542831 	 76 	 39123
0	bestFit	dsapp	20301	0 	 18.000000 	 0.000000 	 2.359151 	 904.000000 	 3159692 	 0 	 5 	 33754 	 48.458988 	 78 	 42922
0	firstFitDemand	None	20203	0 	 0.000000 	 0.000000 	 3.356572 	 377.000000 	 2192039 	 0 	 6 	 46405 	 23.997810 	 3 	 41477
0	firstFit	None	20100	0 	 0.000000 	 0.000000 	 4.924007 	 8.000000 	 3130615 	 0 	 6 	 69766 	 23.434069 	 3 	 42507
0	firstFitDemand	dsapp	20104	0 	 11.000000 	 0.000000 	 1.995683 	 1341.000000 	 2369915 	 0 	 5 	 27304 	 46.622839 	 80 	 41044
0	firstFitDemand	None	20204	0 	 0.000000 	 0.000000 	 2.747106 	 4102.000000 	 3219585 	 0 	 5 	 38246 	 43.828417 	 3 	 41767
0	firstFit	dsapp	20001	0 	 25.000000 	 0.000000 	 2.771738 	 1565.000000 	 3553352 	 0 	 6 	 40131 	 48.309994 	 78 	 43436
0	firstFit	None	20101	0 	 0.000000 	 0.000000 	 4.969632 	 23.000000 	 2578661 	 0 	 6 	 69087 	 20.619656 	 3 	 41704
0	bestFit	dsapp	20302	0 	 23.000000 	 0.000000 	 2.752115 	 1406.000000 	 3525004 	 0 	 6 	 39632 	 47.545863 	 85 	 43200
0	firstFitDemand	dsapp	20200	0 	 16.000000 	 0.000000 	 2.030687 	 1273.000000 	 2268177 	 0 	 5 	 24130 	 47.714601 	 80 	 35650
0	firstFit	None	20102	0 	 0.000000 	 0.000000 	 5.166257 	 0.000000 	 4860798 	 0 	 6 	 75530 	 32.178190 	 4 	 43860
0	firstFit	dsapp	20002	0 	 23.000000 	 0.000000 	 2.819842 	 2914.000000 	 3513476 	 0 	 6 	 33775 	 58.172999 	 96 	 35933
0	firstFitDemand	None	20301	0 	 0.000000 	 0.000000 	 3.971965 	 681.000000 	 3159088 	 0 	 6 	 56827 	 28.675487 	 3 	 42922
0	firstFitDemand	dsapp	20201	0 	 13.000000 	 0.000000 	 2.228835 	 2929.000000 	 2868177 	 0 	 5 	 30899 	 47.096042 	 70 	 41591
0	bestFit	dsapp	20303	0 	 24.000000 	 0.000000 	 2.600485 	 278.000000 	 2867856 	 0 	 5 	 36991 	 40.558417 	 82 	 42674
0	firstFit	None	20103	0 	 0.000000 	 0.000000 	 4.391174 	 6.000000 	 2313039 	 0 	 6 	 64846 	 18.433783 	 2 	 44302
0	firstFitDemand	None	20302	0 	 0.000000 	 0.000000 	 3.275725 	 1364.000000 	 3519565 	 0 	 5 	 47172 	 39.701649 	 3 	 43200
0	firstFitDemand	dsapp	20202	0 	 12.000000 	 0.000000 	 2.577007 	 2224.000000 	 3104661 	 0 	 5 	 33523 	 53.970479 	 62 	 39026
0	firstFit	None	20104	0 	 0.000000 	 0.000000 	 4.220147 	 48.000000 	 2367769 	 0 	 6 	 57736 	 21.958378 	 2 	 41044
0	firstFit	dsapp	20003	0 	 22.000000 	 0.000000 	 2.480327 	 116.000000 	 2603717 	 0 	 6 	 34670 	 40.195983 	 84 	 41935
0	bestFit	dsapp	20304	0 	 21.000000 	 0.000000 	 2.553430 	 605.000000 	 2465087 	 0 	 6 	 34925 	 37.859108 	 82 	 41032
0	firstFitDemand	None	20303	0 	 0.000000 	 0.000000 	 3.665568 	 406.000000 	 2866752 	 0 	 6 	 52141 	 28.589181 	 3 	 42674
0	firstFit	None	20200	0 	 0.000000 	 0.000000 	 3.999561 	 2.000000 	 2266222 	 0 	 6 	 47527 	 24.078991 	 3 	 35650
0	firstFitDemand	dsapp	20203	0 	 17.000000 	 0.000000 	 2.027167 	 720.000000 	 2189736 	 0 	 4 	 28025 	 39.922114 	 81 	 41477
0	bestFit	kmcontrol	20000	0 	 12.000000 	 0.000000 	 3.803515 	 84.000000 	 3153211 	 0 	 6 	 49603 	 34.121621 	 9 	 39123
0	firstFitDemand	None	20304	0 	 0.000000 	 0.000000 	 3.114886 	 1175.000000 	 2463446 	 0 	 6 	 42602 	 30.837669 	 3 	 41032
0	firstFit	dsapp	20004	0 	 22.000000 	 0.000000 	 2.628427 	 131.000000 	 2689642 	 0 	 6 	 37244 	 36.406067 	 78 	 42508
0	firstFit	None	20201	0 	 0.000000 	 0.000000 	 3.801550 	 31.000000 	 2863259 	 0 	 6 	 52706 	 27.469814 	 1 	 41591
0	firstFitDemand	dsapp	20204	0 	 15.000000 	 0.000000 	 2.278685 	 3419.000000 	 3221121 	 0 	 6 	 31725 	 53.031174 	 67 	 41767
0	bestFit	kmcontrol	20001	0 	 10.000000 	 0.000000 	 4.507867 	 221.000000 	 3555311 	 0 	 6 	 65267 	 29.635853 	 6 	 43436
0	firstFitDemand	tcontrol	20000	0 	 7.000000 	 1.000000 	 2.655364 	 742.000000 	 3150775 	 0 	 5 	 34629 	 48.790042 	 343 	 39123
0	firstFit	None	20202	0 	 0.000000 	 0.000000 	 4.298463 	 397.000000 	 3105017 	 0 	 6 	 55915 	 32.281854 	 3 	 39026
0	firstFit	dsapp	20100	0 	 20.000000 	 0.000000 	 2.627822 	 522.000000 	 3123408 	 0 	 6 	 37231 	 44.009001 	 80 	 42507
0	bestFit	kmcontrol	20002	0 	 7.000000 	 0.000000 	 4.488956 	 140.000000 	 3510843 	 0 	 6 	 53768 	 36.396448 	 6 	 35933
0	firstFit	None	20203	0 	 0.000000 	 0.000000 	 4.111216 	 26.000000 	 2192219 	 0 	 6 	 56839 	 19.586751 	 2 	 41477
0	firstFitDemand	dsapp	20300	0 	 19.000000 	 0.000000 	 2.265050 	 1030.000000 	 2886758 	 0 	 5 	 32383 	 47.578561 	 77 	 42891
0	firstFitDemand	tcontrol	20001	0 	 8.000000 	 1.000000 	 2.813951 	 516.000000 	 3557304 	 0 	 5 	 40742 	 47.490626 	 342 	 43436
0	firstFit	dsapp	20101	0 	 9.000000 	 0.000000 	 3.967285 	 93.000000 	 2582053 	 0 	 6 	 55153 	 25.919788 	 79 	 41704
0	firstFit	None	20204	0 	 0.000000 	 0.000000 	 3.629330 	 2229.000000 	 3217526 	 0 	 6 	 50528 	 33.149195 	 2 	 41767
0	bestFit	kmcontrol	20003	0 	 14.000000 	 0.000000 	 3.968451 	 23.000000 	 2602919 	 0 	 6 	 55472 	 25.054251 	 5 	 41935
0	firstFitDemand	dsapp	20301	0 	 15.000000 	 0.000000 	 2.326376 	 1901.000000 	 3164154 	 0 	 5 	 33283 	 49.242348 	 94 	 42922
0	firstFitDemand	tcontrol	20002	0 	 8.000000 	 3.000000 	 3.128991 	 1121.000000 	 3515822 	 0 	 5 	 37477 	 52.301503 	 318 	 35933
0	firstFit	None	20300	0 	 0.000000 	 0.000000 	 4.716000 	 77.000000 	 2889365 	 0 	 6 	 67426 	 22.751116 	 3 	 42891
0	bestFit	kmcontrol	20004	0 	 8.000000 	 0.000000 	 3.503125 	 1.000000 	 2687134 	 0 	 6 	 49638 	 27.211601 	 9 	 42508
0	firstFitDemand	tcontrol	20003	0 	 12.000000 	 1.000000 	 2.393831 	 458.000000 	 2598059 	 0 	 4 	 33460 	 41.450995 	 304 	 41935
0	firstFit	dsapp	20102	0 	 22.000000 	 0.000000 	 2.855345 	 2031.000000 	 4856325 	 0 	 6 	 41744 	 58.370521 	 66 	 43860
0	firstFitDemand	dsapp	20302	0 	 12.000000 	 0.000000 	 2.379063 	 2226.000000 	 3523531 	 0 	 5 	 34260 	 54.854944 	 72 	 43200
0	firstFit	None	20301	0 	 0.000000 	 0.000000 	 4.393241 	 65.000000 	 3158070 	 0 	 6 	 62856 	 25.919741 	 2 	 42922
0	bestFit	kmcontrol	20100	0 	 12.000000 	 0.000000 	 4.009276 	 25.000000 	 3124517 	 0 	 6 	 56805 	 28.798222 	 6 	 42507
0	firstFitDemand	tcontrol	20004	0 	 7.000000 	 0.000000 	 2.074177 	 437.000000 	 2686058 	 0 	 4 	 29389 	 45.926126 	 337 	 42508
0	firstFit	dsapp	20103	0 	 22.000000 	 0.000000 	 2.113160 	 220.000000 	 2311988 	 0 	 6 	 31204 	 38.536603 	 88 	 44302
0	firstFit	None	20302	0 	 0.000000 	 0.000000 	 4.570107 	 17.000000 	 3524449 	 0 	 6 	 65811 	 28.486313 	 2 	 43200
0	firstFitDemand	dsapp	20303	0 	 15.000000 	 0.000000 	 2.369189 	 1073.000000 	 2867346 	 0 	 4 	 33701 	 44.396664 	 72 	 42674
0	bestFit	kmcontrol	20101	0 	 6.000000 	 0.000000 	 3.964924 	 39.000000 	 2579629 	 0 	 6 	 55120 	 25.915656 	 6 	 41704
0	firstFit	None	20303	0 	 0.000000 	 0.000000 	 4.580112 	 22.000000 	 2861222 	 0 	 6 	 65151 	 22.831054 	 3 	 42674
0	firstFitDemand	tcontrol	20100	0 	 11.000000 	 2.000000 	 2.295518 	 644.000000 	 3125250 	 0 	 4 	 32524 	 50.305948 	 334 	 42507
