Placement Controller,Reallocation Controller,Initial Placement,Times,Workload data,Schedule,Release,Experiment start time,Experiment stop time,Status,MEAN server count,50 quantile server count,90 quantile server count,MIN server count,MAX server count,MEAN server CPU utilization,50 quantile server CPU utilization,MEAN server MEM utilization,SUCCESSFUL operations count,FAILED operations count,MEAN operations response time,50 quantile operations response time (sampled),90 quantile operations response time (sampled),50 quantile operation response time (AVG over all targets),90 quantile operation response time (AVG over all targets),MAX operations response time,operations per second,requests per second,operations response time threshold violations,live migrations count,Server CPU > 90% measurements count,Server activations count,Server deactivations count,Total seen operations count
FirstFitDemand,KMControl,Round,MKII,MKII,20000,MKIICOOP ,11/16/2013 16:00:00,11/17/2013 3:30:00,ok,2.510249171,3,4,1,4,42.27863584,42.8,47.62330328,2428711,2407,646.1930402,1045,1113,595.1059269,833.6903447,32223,4.218704781,32.53414715,5860,7,1,6,6,2431118
WorstFit,TControl,Round,MKII,MKII,20000,MKIICOOP ,11/17/2013 13:00:00,11/18/2013 0:30:00,ok,2.804325373,3,4,1,5,40.4477145,43.4,42.32509614,2428119,3436,642.0652648,1046,1115,582.5701911,762.406248,33344,4.210487584,32.52747587,5015.5,25,1,12,12,2431555
WorstFit,TControl,Round,MKII,MKII,20001,MKIICOOP ,11/18/2013 0:05:00,11/18/2013 12:15:00,ok,2.962645737,3,4,1,5,41.37570987,42.5,43.96879898,2817908,54559,672.7461922,1047,1118,644.5588187,1128.44406,35576,4.65162548,36.01886361,11406.5,27,1,14,14,2872467
WorstFit,KMControl,Round,MKII,MKII,20001,MKIICOOP ,11/18/2013 12:25:00,11/19/2013 0:35:00,ok,3.665795785,4,5,1,6,33.21984776,33.5,36.07898585,2877211,1887,641.1884047,1045,1103,578.2768998,759.1579483,32219,4.898964084,37.89443431,5927.5,22,1,14,14,2879098
FirstFitDemand,KMControl,Round,MKII,MKII,20001,MKIICOOP ,11/20/2013 9:15:00,11/20/2013 21:35:00,invalid,2.849713158,3,4,1,4,39.89475656,39.6,43.17787608,2872342,685,658.708805,1044,1098,601.5861273,1099.996449,35397,4.799799471,37.0375815,8652.5,6,1,6,6,2873027
FirstFitDemand,KMControl,Round,MKII,MKII,20002,MKIICOOP ,11/20/2013 21:55:00,11/21/2013 8:05:00,ok,2.711851007,3,3,1,4,48.9429102,48,45.84219249,3015661,359,707.9896284,1049,1214,604.4474408,989.946386,42645,4.593559782,35.46813374,26146.5,5,1,6,6,3016020
WorstFit,TControl,Round,MKII,MKII,20002,MKIICOOP ,11/21/2013 9:10:00,11/21/2013 19:30:00,ok,3.282763786,3,5,1,6,43.83391399,45.1,38.46315616,3019688,8194,698.5832801,1048,1142,595.4089024,1068.734172,42762,4.601745302,35.56944595,23327,26,1,11,11,3027882
FirstFitDemand,KMControl,Round,MKII,MKII,20003,MKIICOOP ,12/5/2013 22:55:00,,failed,,,,,,,,,,,,,,,,,,,,,,,,
FirstFitDemand,KMControl,Round,MKII,MKII,20003,MKIICOOP ,12/6/2013 15:20:00,12/7/2013 3:20:00,ok,2.372846702,2,3,1,3,35.5127801,35,47.10315808,1932410,2480,609.3116696,1044,1091,570.7369579,1059.316578,59672,3.373798136,26.13313171,7854.5,8,1,6,6,1934890
WorstFit,TControl,Round,MKII,MKII,20003,MKIICOOP ,12/7/2013 13:15:00,12/8/2013 1:15:00,ok,2.587231717,2,4,1,6,36.42324895,38.8,44.33114004,1927868,5195,600.0726931,1047,1102,579.2251047,949.0117218,63814,3.386685184,26.18269163,6890.5,26,1,14,14,1933063
WorstFit,TControl,Round,MKII,MKII,20100,MKIICOOP ,11/21/2013 21:15:00,11/22/2013 9:15:00,ok,2.739475065,3,4,1,5,40.01417301,44.3,43.87122665,2492605,3532,660.6614472,1047,1114,592.6949782,1149.684681,53526,3.077614712,23.72601223,8368,27,1,15,15,2496137
FirstFitDemand,KMControl,Round,MKII,MKII,20100,MKIICOOP ,11/22/2013 9:15:00,11/22/2013 21:20:00,ok,2.320342482,2,3,1,3,44.23222472,44.3,52.00290747,2489010,2388,675.6957076,1046,1127,593.6951271,915.6457558,32687,3.069008338,23.67160318,10476.5,7,1,6,6,2491398
FirstFitDemand,KMControl,Round,MKII,MKII,20101,MKIICOOP ,11/22/2013 22:50:00,11/23/2013 11:00:00,ok,2.398906179,3,3,1,4,36.13906058,34.8,48.64835158,1935128,1087,584.9708213,1045,1095,577.3656545,1092.083113,32490,4.240228838,32.70421348,4748.5,9,1,6,6,1936215
WorstFit,TControl,Round,MKII,MKII,20101,MKIICOOP ,11/23/2013 12:50:00,11/24/2013 0:40:00,ok,2.67074497,3,5,1,6,34.73132223,36.6,42.86623761,1932080,2614,625.9686838,1046,1102,583.254166,1021.830755,53574,4.264370417,32.92041432,4332.5,24,1,13,13,1934694
WorstFit,TControl,Round,MKII,MKII,20102,MKIICOOP ,11/24/2013 0:40:00,11/24/2013 14:00:00,ok,3.410244583,4,5,1,6,45.16600276,46.7,38.10855084,4035761,4400,649.0557607,1048,1126,584.3807059,844.734537,32256,5.124617164,39.55683504,14210,24,1,13,13,4040161
FirstFitDemand,KMControl,Round,MKII,MKII,20102,MKIICOOP ,11/24/2013 19:00:00,11/25/2013 7:30:00,ok,2.942896064,3,4,1,5,49.3467478,51.5,43.08470365,4030263,1369,668.6882041,1048,1149,624.3237628,1371.936889,34644,5.074127579,39.14023828,17195,9,1,8,8,4031632
WorstFit,TControl,Round,MKII,MKII,20103,MKIICOOP ,12/8/2013 2:09:00,12/8/2013 14:35:00,ok,2.26273031,2,4,1,6,34.73885107,34.9,42.7016391,1639099,2068,612.0751802,1048,1126,594.9901746,1101.160477,35277,2.806799595,21.66377333,11239.5,29,1,14,14,1641167
FirstFitDemand,KMControl,Round,MKII,MKII,20103,MKIICOOP ,12/8/2013 14:40:00,12/9/2013 3:15:00,ok,1.992705515,2,3,1,4,34.26830757,30.7,47.19117966,1653281,1945,579.5769978,1045,1109,581.7461411,882.2559677,31508,2.836970744,21.93295156,5982.5,6,1,7,7,1655226
FirstFitDemand,KMControl,Round,MKII,MKII,20200,MKIICOOP ,11/25/2013 9:10:00,11/25/2013 19:20:00,ok,2.059224507,2,3,1,4,39.97250285,38.9,45.99886757,1586452,2310,624.0594334,1046,1125,572.1259248,797.5693293,57152,3.495571671,27.12380083,8286,7,1,6,6,1588762
WorstFit,TControl,Round,MKII,MKII,20200,MKIICOOP ,11/25/2013 20:35:00,11/26/2013 6:45:00,ok,2.611522625,3,4,1,5,35.3721769,37.4,36.89252063,1576013,3197,723.4385729,1048,1141,723.8797253,2081.994311,124486,3.252640306,25.09363666,9332.5,23,1,14,14,1579210
WorstFit,TControl,Round,MKII,MKII,20201,MKIICOOP ,11/26/2013 9:45:00,11/26/2013 22:00:00,ok,2.699444945,3,5,1,5,37.30046915,36.7,34.59682028,2074813,4620,630.3946327,1047,1137,613.8644686,1210.917062,37713,4.149477411,32.02831914,12746.5,24,1,13,13,2079433
FirstFitDemand,KMControl,Round,MKII,MKII,20201,MKIICOOP ,11/27/2013 9:45:00,11/27/2013 21:30:00,ok,2.232898634,2,4,1,4,38.93079848,37,41.68537733,2056995,1019,751.7584087,1046,1163,634.2502598,2054.106135,41337,4.128936156,31.77621648,24233.5,4,1,5,5,2058014
FirstFitDemand,KMControl,Round,MKII,MKII,20202,MKIICOOP ,11/27/2013 22:00:00,11/28/2013 9:10:00,failed,,,,,,,,,,,,,,,,,,,,,,,,
FirstFitDemand,KMControl,Round,MKII,MKII,20202,MKIICOOP ,11/28/2013 22:28:00,11/29/2013 9:45:00,ok,2.579853417,2,4,1,5,39.96672906,39,44.38855547,2422366,615,653.2458277,1046,1132,578.3029518,850.749882,39429,4.620733148,35.63927084,12316.5,7,1,6,6,2422981
WorstFit,TControl,Round,MKII,MKII,20202,MKIICOOP ,11/28/2013 9:35:00,11/28/2013 20:40:00,ok,2.902188783,3,5,1,6,41.89609666,41.6,40.03825067,2388773,8031,710.7919885,1050,1164,594.310332,1041.915344,53611,4.588869977,35.44814476,23497.5,27,1,14,14,2396804
FirstFitDemand,KMControl,Round,MKII,MKII,20203,MKIICOOP ,11/29/2013 9:48:00,11/29/2013 21:30:00,ok,2.304261023,3,3,1,5,32.58278422,30.6,39.66645058,1624373,976,619.9680221,1045,1112,580.3668336,858.1006152,38844,2.776750052,21.45651553,9017.5,9,1,7,7,1625349
WorstFit,TControl,Round,MKII,MKII,20203,MKIICOOP ,11/29/2013 22:00:00,11/30/2013 10:00:00,ok,2.555979567,2,4,1,6,34.40671391,32.7,38.7176439,1602362,3543,708.1331595,1050,1170,589.7364599,1121.611204,47808,2.749967034,21.29710049,17720.5,29,1,15,15,1605905
WorstFit,TControl,Round,MKII,MKII,20301,MKIICOOP ,11/30/2013 10:30:00,11/30/2013 22:45:00,ok,2.582016287,2,4,1,5,39.24337288,36.5,44.02182501,2267130,4265,715.3212247,1048,1149,578.271536,784.5725543,33652,3.451128632,26.70443429,16398.5,24,1,13,13,2271395
FirstFitDemand,KMControl,Round,MKII,MKII,20301,MKIICOOP ,11/30/2013 23:35:00,12/1/2013 12:00:00,ok,2.485102267,3,4,1,4,38.25210058,37.1,46.18074365,2287906,303,679.526081,1045,1104,566.6720516,716.8807251,32429,3.468795773,26.74333186,9860,9,1,7,7,2288209
FirstFitDemand,KMControl,Round,MKII,MKII,20302,MKIICOOP ,12/1/2013 13:30:00,12/2/2013 2:00:00,ok,2.436855161,3,4,1,4,43.6365846,43.4,49.76355316,2748735,4549,652.0532421,1046,1127,592.1443398,1044.107057,108157,5.270986975,40.66271592,13386,9,1,6,6,2753284
