RUN	STRATEGY_PLACEMENT	STRATEGY_REALLOCATION	SCHEDULE_ID	DOMAIN_SIZES_SET 	 Migrations	Overload Mig.	avg. srv. count	cpu violations	cpu accumulation	min. servers	max. servers	slot count	avg. srv. utilization	initial placement duration	runtime
0	firstFitDemand	None	20202	0 	 0.000000 	 0.000000 	 3.280918 	 0.000000 	 2477675 	 0 	 5 	 42679 	 35.036746 	 111 	 39026
0	firstFit	dsapp	20000	0 	 22.000000 	 0.000000 	 2.823103 	 0.000000 	 2704642 	 0 	 5 	 36817 	 38.936015 	 284 	 39123
0	firstFit	None	20004	0 	 0.000000 	 0.000000 	 5.011157 	 0.000000 	 1860699 	 0 	 6 	 71005 	 13.114135 	 111 	 42508
0	bestFit	dsapp	20301	0 	 18.000000 	 0.000000 	 2.361882 	 356.000000 	 2475713 	 0 	 5 	 33792 	 37.773675 	 284 	 42922
0	firstFitDemand	dsapp	20103	0 	 9.000000 	 0.000000 	 2.020875 	 0.000000 	 1996813 	 0 	 4 	 29843 	 34.234335 	 286 	 44302
0	firstFitDemand	None	20203	0 	 0.000000 	 0.000000 	 2.969884 	 0.000000 	 1387258 	 0 	 5 	 41060 	 17.049598 	 3 	 41477
0	firstFit	None	20100	0 	 0.000000 	 0.000000 	 4.924007 	 0.000000 	 2642054 	 0 	 6 	 69766 	 19.650471 	 3 	 42507
0	firstFitDemand	dsapp	20104	0 	 11.000000 	 0.000000 	 2.014703 	 7.000000 	 2019978 	 0 	 4 	 27562 	 38.894972 	 19 	 41044
0	bestFit	dsapp	20302	0 	 22.000000 	 0.000000 	 2.748614 	 29.000000 	 2848046 	 0 	 6 	 39583 	 38.763182 	 13 	 43200
0	firstFit	dsapp	20001	0 	 20.000000 	 0.000000 	 2.888941 	 343.000000 	 2784487 	 0 	 6 	 41827 	 36.699770 	 19 	 43436
0	firstFitDemand	None	20204	0 	 0.000000 	 0.000000 	 2.466355 	 347.000000 	 2981614 	 0 	 5 	 34338 	 45.197075 	 2 	 41767
0	firstFitDemand	dsapp	20200	0 	 11.000000 	 0.000000 	 1.885481 	 353.000000 	 1635046 	 0 	 4 	 22406 	 37.102443 	 19 	 35650
0	firstFit	None	20101	0 	 0.000000 	 0.000000 	 4.969632 	 0.000000 	 1881532 	 0 	 6 	 69087 	 14.918373 	 3 	 41704
0	firstFit	dsapp	20002	0 	 20.000000 	 0.000000 	 2.766124 	 956.000000 	 2821445 	 0 	 6 	 33130 	 48.043304 	 20 	 35933
0	bestFit	dsapp	20303	0 	 23.000000 	 0.000000 	 2.684537 	 0.000000 	 2136645 	 0 	 5 	 38186 	 29.045640 	 17 	 42674
0	firstFitDemand	None	20300	0 	 0.000000 	 0.000000 	 3.113200 	 0.000000 	 2345914 	 0 	 5 	 44509 	 27.833788 	 2 	 42891
0	firstFitDemand	dsapp	20201	0 	 13.000000 	 0.000000 	 2.141222 	 1597.000000 	 2972788 	 0 	 5 	 29685 	 50.511064 	 16 	 41591
0	firstFit	None	20102	0 	 0.000000 	 0.000000 	 5.166257 	 0.000000 	 4056627 	 0 	 6 	 75530 	 26.854692 	 2 	 43860
0	bestFit	dsapp	20304	0 	 19.000000 	 0.000000 	 2.641423 	 556.000000 	 2268198 	 0 	 6 	 36130 	 33.196121 	 15 	 41032
0	firstFit	dsapp	20003	0 	 23.000000 	 0.000000 	 2.514001 	 1082.000000 	 2836497 	 0 	 6 	 35140 	 42.588785 	 19 	 41935
0	firstFitDemand	None	20301	0 	 0.000000 	 0.000000 	 3.016498 	 0.000000 	 2468207 	 0 	 4 	 43158 	 29.357795 	 3 	 42922
0	firstFitDemand	dsapp	20202	0 	 9.000000 	 0.000000 	 2.537627 	 163.000000 	 2468214 	 0 	 5 	 33011 	 45.226398 	 15 	 39026
0	firstFit	None	20103	0 	 0.000000 	 0.000000 	 4.391174 	 0.000000 	 1999624 	 0 	 6 	 64846 	 15.749309 	 3 	 44302
0	bestFit	kmcontrol	20000	0 	 22.000000 	 0.000000 	 3.060980 	 0.000000 	 2699837 	 0 	 6 	 39920 	 35.862181 	 36 	 39123
0	firstFit	dsapp	20004	0 	 22.000000 	 0.000000 	 2.628848 	 0.000000 	 1849829 	 0 	 6 	 37252 	 25.015411 	 19 	 42508
0	firstFitDemand	None	20302	0 	 0.000000 	 0.000000 	 3.501912 	 380.000000 	 2856905 	 0 	 6 	 50428 	 30.385639 	 3 	 43200
0	firstFitDemand	dsapp	20203	0 	 8.000000 	 0.000000 	 2.041369 	 0.000000 	 1386940 	 0 	 4 	 28222 	 24.889210 	 15 	 41477
0	firstFit	None	20104	0 	 0.000000 	 0.000000 	 4.220147 	 0.000000 	 2021348 	 0 	 6 	 57736 	 18.533284 	 2 	 41044
0	firstFit	dsapp	20100	0 	 22.000000 	 0.000000 	 2.631807 	 16.000000 	 2649271 	 0 	 6 	 37287 	 37.042744 	 16 	 42507
0	firstFit	None	20200	0 	 0.000000 	 0.000000 	 3.999561 	 0.000000 	 1628656 	 0 	 6 	 47527 	 17.355084 	 2 	 35650
0	bestFit	kmcontrol	20001	0 	 26.000000 	 0.000000 	 2.943971 	 21.000000 	 2781058 	 0 	 5 	 42626 	 36.034598 	 6 	 43436
0	firstFitDemand	None	20303	0 	 0.000000 	 0.000000 	 3.276005 	 5.000000 	 2144184 	 0 	 5 	 46600 	 23.741624 	 2 	 42674
0	firstFitDemand	dsapp	20204	0 	 10.000000 	 0.000000 	 2.220750 	 749.000000 	 2976858 	 0 	 5 	 30917 	 50.221491 	 16 	 41767
0	firstFit	None	20201	0 	 0.000000 	 0.000000 	 3.801550 	 0.000000 	 2964597 	 0 	 6 	 52706 	 28.295496 	 2 	 41591
0	firstFit	dsapp	20101	0 	 7.000000 	 0.000000 	 3.852644 	 0.000000 	 1883347 	 0 	 6 	 53557 	 22.860225 	 13 	 41704
0	bestFit	kmcontrol	20002	0 	 19.000000 	 0.000000 	 2.906101 	 9.000000 	 2822703 	 0 	 6 	 34809 	 45.751463 	 4 	 35933
0	firstFitDemand	None	20304	0 	 0.000000 	 0.000000 	 2.706322 	 4424.000000 	 2269180 	 0 	 5 	 37014 	 32.273058 	 2 	 41032
0	firstFitDemand	dsapp	20300	0 	 8.000000 	 0.000000 	 2.386238 	 12.000000 	 2347339 	 0 	 4 	 34117 	 36.408893 	 19 	 42891
0	firstFit	None	20202	0 	 0.000000 	 0.000000 	 4.298463 	 3.000000 	 2484153 	 0 	 6 	 55915 	 26.798441 	 2 	 39026
0	firstFitDemand	tcontrol	20000	0 	 14.000000 	 0.000000 	 2.428426 	 0.000000 	 2700289 	 0 	 4 	 31669 	 45.119133 	 836 	 39123
0	firstFit	dsapp	20102	0 	 23.000000 	 0.000000 	 2.695657 	 1524.000000 	 4058877 	 0 	 6 	 39411 	 51.674950 	 17 	 43860
0	bestFit	kmcontrol	20003	0 	 25.000000 	 0.000000 	 2.932091 	 14.000000 	 2836494 	 0 	 6 	 40981 	 43.473314 	 5 	 41935
0	firstFitDemand	dsapp	20301	0 	 8.000000 	 0.000000 	 2.175453 	 0.000000 	 2462584 	 0 	 4 	 31125 	 40.710840 	 20 	 42922
0	firstFit	None	20203	0 	 0.000000 	 0.000000 	 4.111216 	 0.000000 	 1385813 	 0 	 6 	 56839 	 12.298833 	 3 	 41477
0	firstFit	dsapp	20103	0 	 22.000000 	 0.000000 	 2.275876 	 0.000000 	 1998336 	 0 	 6 	 33607 	 30.556422 	 19 	 44302
0	firstFitDemand	tcontrol	20001	0 	 16.000000 	 1.000000 	 2.492205 	 21.000000 	 2779923 	 0 	 4 	 36084 	 42.454890 	 316 	 43436
0	bestFit	kmcontrol	20004	0 	 36.000000 	 0.000000 	 2.577505 	 5.000000 	 1857685 	 0 	 5 	 36522 	 25.737765 	 6 	 42508
0	firstFit	None	20204	0 	 0.000000 	 0.000000 	 3.629330 	 1928.000000 	 2971765 	 0 	 6 	 50528 	 30.617273 	 2 	 41767
0	firstFitDemand	dsapp	20302	0 	 13.000000 	 0.000000 	 2.401486 	 1371.000000 	 2847229 	 0 	 5 	 34581 	 44.284781 	 16 	 43200
0	firstFit	dsapp	20104	0 	 20.000000 	 0.000000 	 2.339074 	 7.000000 	 2023290 	 0 	 6 	 32002 	 33.623263 	 20 	 41044
0	firstFitDemand	tcontrol	20002	0 	 9.000000 	 0.000000 	 2.678759 	 4.000000 	 2822967 	 0 	 4 	 32086 	 49.546648 	 322 	 35933
0	firstFit	None	20300	0 	 0.000000 	 0.000000 	 4.716000 	 34.000000 	 2341371 	 0 	 6 	 67426 	 18.344780 	 2 	 42891
0	bestFit	kmcontrol	20100	0 	 29.000000 	 0.000000 	 2.909980 	 0.000000 	 2645680 	 0 	 5 	 41229 	 33.524808 	 6 	 42507
0	firstFitDemand	dsapp	20303	0 	 12.000000 	 0.000000 	 2.369422 	 0.000000 	 2138111 	 0 	 4 	 33706 	 32.848681 	 19 	 42674
0	firstFit	dsapp	20200	0 	 20.000000 	 0.000000 	 2.380374 	 7.000000 	 1631568 	 0 	 6 	 28283 	 29.421235 	 19 	 35650
0	firstFit	None	20301	0 	 0.000000 	 0.000000 	 4.393241 	 0.000000 	 2458634 	 0 	 6 	 62856 	 20.086340 	 1 	 42922
0	firstFitDemand	tcontrol	20003	0 	 18.000000 	 1.000000 	 2.478891 	 18.000000 	 2828625 	 0 	 4 	 34650 	 43.022054 	 319 	 41935
0	firstFitDemand	dsapp	20304	0 	 14.000000 	 0.000000 	 2.281202 	 832.000000 	 2269606 	 0 	 4 	 31201 	 38.410483 	 17 	 41032
0	bestFit	kmcontrol	20101	0 	 30.000000 	 0.000000 	 2.551426 	 0.000000 	 1888034 	 0 	 6 	 35469 	 29.428673 	 5 	 41704
0	firstFit	dsapp	20201	0 	 25.000000 	 0.000000 	 2.448003 	 962.000000 	 2962382 	 0 	 5 	 33940 	 44.134490 	 16 	 41591
0	firstFit	None	20302	0 	 0.000000 	 0.000000 	 4.570107 	 0.000000 	 2849017 	 0 	 6 	 65811 	 23.223198 	 3 	 43200
0	firstFitDemand	kmcontrol	20000	0 	 14.000000 	 1.000000 	 2.566041 	 258.000000 	 2702867 	 0 	 4 	 33464 	 42.751682 	 8 	 39123
0	firstFitDemand	tcontrol	20004	0 	 13.000000 	 0.000000 	 2.035549 	 2.000000 	 1862965 	 0 	 3 	 28842 	 32.462866 	 290 	 42508
0	firstFit	dsapp	20202	0 	 20.000000 	 0.000000 	 2.679554 	 1486.000000 	 2479733 	 0 	 5 	 34857 	 43.073249 	 13 	 39026
0	bestFit	kmcontrol	20102	0 	 21.000000 	 0.000000 	 3.297685 	 0.000000 	 4059617 	 0 	 6 	 48213 	 42.222295 	 5 	 43860
0	firstFit	None	20303	0 	 0.000000 	 0.000000 	 4.580112 	 0.000000 	 2141348 	 0 	 6 	 65151 	 16.958042 	 2 	 42674
0	firstFit	dsapp	20203	0 	 19.000000 	 0.000000 	 2.269552 	 86.000000 	 1390020 	 0 	 6 	 31374 	 22.507335 	 16 	 41477
0	firstFitDemand	kmcontrol	20001	0 	 13.000000 	 0.000000 	 2.436448 	 12.000000 	 2787914 	 0 	 4 	 35276 	 43.516371 	 6 	 43436
0	firstFitDemand	tcontrol	20100	0 	 10.000000 	 0.000000 	 2.342717 	 0.000000 	 2651435 	 0 	 4 	 33194 	 41.532738 	 305 	 42507
0	bestFit	kmcontrol	20103	0 	 28.000000 	 0.000000 	 2.256049 	 0.000000 	 1999455 	 0 	 6 	 33315 	 30.913853 	 4 	 44302
0	firstFit	None	20304	0 	 0.000000 	 0.000000 	 4.483589 	 2672.000000 	 2268715 	 0 	 6 	 61326 	 19.472131 	 2 	 41032
0	firstFit	dsapp	20204	0 	 20.000000 	 0.000000 	 2.656886 	 101.000000 	 2971431 	 0 	 6 	 36988 	 41.965020 	 19 	 41767
0	firstFitDemand	kmcontrol	20002	0 	 10.000000 	 0.000000 	 2.706624 	 7.000000 	 2820278 	 0 	 4 	 32419 	 49.024964 	 9 	 35933
0	firstFitDemand	tcontrol	20101	0 	 18.000000 	 0.000000 	 2.143414 	 8.000000 	 1880446 	 0 	 3 	 29797 	 34.772055 	 346 	 41704
0	bestFit	kmcontrol	20104	0 	 21.000000 	 0.000000 	 2.547991 	 0.000000 	 2023135 	 0 	 6 	 34857 	 30.903283 	 5 	 41044
0	firstFit	tcontrol	20000	0 	 21.000000 	 0.000000 	 3.079322 	 0.000000 	 2702261 	 0 	 6 	 40158 	 35.672021 	 352 	 39123
0	firstFit	dsapp	20300	0 	 24.000000 	 0.000000 	 2.828117 	 77.000000 	 2342622 	 0 	 6 	 40435 	 30.772141 	 19 	 42891
0	firstFitDemand	kmcontrol	20003	0 	 11.000000 	 0.000000 	 2.395545 	 45.000000 	 2837115 	 0 	 3 	 33485 	 46.155374 	 6 	 41935
0	bestFit	kmcontrol	20200	0 	 24.000000 	 0.000000 	 2.294286 	 0.000000 	 1636038 	 0 	 5 	 27262 	 30.638020 	 5 	 35650
0	firstFitDemand	tcontrol	20102	0 	 10.000000 	 3.000000 	 2.529555 	 559.000000 	 4049876 	 0 	 4 	 36983 	 54.843708 	 299 	 43860
0	firstFit	tcontrol	20001	0 	 26.000000 	 1.000000 	 2.863825 	 24.000000 	 2782826 	 0 	 5 	 41463 	 37.048274 	 275 	 43436
0	firstFit	dsapp	20301	0 	 19.000000 	 0.000000 	 2.360280 	 541.000000 	 2477681 	 0 	 5 	 33770 	 37.825620 	 19 	 42922
0	bestFit	kmcontrol	20201	0 	 25.000000 	 0.000000 	 2.524307 	 0.000000 	 2954213 	 0 	 6 	 34995 	 42.665324 	 6 	 41591
0	firstFitDemand	kmcontrol	20004	0 	 13.000000 	 0.000000 	 2.035464 	 0.000000 	 1860151 	 0 	 3 	 28842 	 32.434870 	 6 	 42508
0	firstFitDemand	tcontrol	20103	0 	 10.000000 	 0.000000 	 1.829428 	 0.000000 	 2000242 	 0 	 3 	 27015 	 37.913360 	 302 	 44302
0	firstFit	tcontrol	20002	0 	 23.000000 	 0.000000 	 3.249274 	 0.000000 	 2814854 	 0 	 5 	 38919 	 40.865914 	 310 	 35933
0	bestFit	kmcontrol	20202	0 	 20.000000 	 0.000000 	 2.881907 	 12.000000 	 2470917 	 0 	 6 	 37490 	 39.963709 	 6 	 39026
0	firstFit	dsapp	20302	0 	 22.000000 	 0.000000 	 2.748790 	 358.000000 	 2849048 	 0 	 6 	 39583 	 38.777130 	 19 	 43200
0	firstFitDemand	kmcontrol	20100	0 	 10.000000 	 0.000000 	 2.344108 	 0.000000 	 2648898 	 0 	 4 	 33213 	 41.491048 	 4 	 42507
0	firstFitDemand	tcontrol	20104	0 	 13.000000 	 2.000000 	 1.908849 	 316.000000 	 2022073 	 0 	 4 	 26114 	 41.134495 	 293 	 41044
0	firstFit	tcontrol	20003	0 	 30.000000 	 0.000000 	 2.654428 	 6.000000 	 2832586 	 0 	 6 	 37102 	 40.319947 	 299 	 41935
0	bestFit	kmcontrol	20203	0 	 34.000000 	 0.000000 	 2.550803 	 0.000000 	 1384301 	 0 	 6 	 35265 	 20.092181 	 6 	 41477
0	firstFit	dsapp	20303	0 	 24.000000 	 0.000000 	 2.679748 	 0.000000 	 2139906 	 0 	 5 	 38117 	 29.131290 	 19 	 42674
0	firstFitDemand	tcontrol	20200	0 	 6.000000 	 0.000000 	 1.802759 	 0.000000 	 1627663 	 0 	 3 	 21422 	 38.573718 	 286 	 35650
0	firstFitDemand	kmcontrol	20101	0 	 16.000000 	 0.000000 	 2.143864 	 13.000000 	 1884775 	 0 	 3 	 29802 	 34.778284 	 6 	 41704
0	bestFit	kmcontrol	20204	0 	 21.000000 	 0.000000 	 2.536198 	 0.000000 	 2967777 	 0 	 6 	 35310 	 43.937440 	 6 	 41767
0	firstFit	tcontrol	20004	0 	 40.000000 	 0.000000 	 2.628480 	 6.000000 	 1865211 	 0 	 5 	 37247 	 25.373113 	 315 	 42508
0	firstFit	dsapp	20304	0 	 19.000000 	 0.000000 	 2.646711 	 578.000000 	 2271036 	 0 	 6 	 36200 	 33.159671 	 19 	 41032
0	firstFitDemand	tcontrol	20201	0 	 7.000000 	 4.000000 	 2.094436 	 900.000000 	 2978780 	 0 	 4 	 29037 	 51.670134 	 335 	 41591
0	firstFitDemand	kmcontrol	20102	0 	 8.000000 	 1.000000 	 2.512193 	 224.000000 	 4055044 	 0 	 4 	 36730 	 55.259942 	 7 	 43860
0	firstFit	kmcontrol	20000	0 	 22.000000 	 0.000000 	 3.082242 	 0.000000 	 2704614 	 0 	 6 	 40196 	 35.673739 	 6 	 39123
0	bestFit	kmcontrol	20300	0 	 25.000000 	 0.000000 	 2.622450 	 0.000000 	 2347425 	 0 	 6 	 37493 	 33.270965 	 7 	 42891
0	firstFit	tcontrol	20100	0 	 30.000000 	 0.000000 	 2.833078 	 0.000000 	 2638968 	 0 	 5 	 40140 	 34.361704 	 302 	 42507
0	firstFitDemand	tcontrol	20202	0 	 20.000000 	 7.000000 	 2.546169 	 1067.000000 	 2476708 	 0 	 5 	 33122 	 45.305014 	 325 	 39026
0	firstFitDemand	kmcontrol	20103	0 	 9.000000 	 0.000000 	 1.823303 	 0.000000 	 2000402 	 0 	 3 	 26925 	 38.040969 	 6 	 44302
0	firstFit	kmcontrol	20001	0 	 27.000000 	 0.000000 	 2.865952 	 22.000000 	 2788084 	 0 	 5 	 41495 	 37.090548 	 6 	 43436
0	bestFit	kmcontrol	20301	0 	 29.000000 	 0.000000 	 2.583354 	 0.000000 	 2469603 	 0 	 5 	 36961 	 34.550039 	 8 	 42922
0	firstFitDemand	tcontrol	20203	0 	 21.000000 	 0.000000 	 2.162302 	 0.000000 	 1395134 	 0 	 4 	 29896 	 23.747639 	 264 	 41477
0	firstFit	tcontrol	20101	0 	 35.000000 	 0.000000 	 2.540239 	 4.000000 	 1879331 	 0 	 6 	 35312 	 29.472265 	 299 	 41704
0	firstFitDemand	kmcontrol	20104	0 	 10.000000 	 0.000000 	 1.962967 	 595.000000 	 2018977 	 0 	 4 	 26854 	 39.918401 	 5 	 41044
