RUN	STRATEGY_PLACEMENT	STRATEGY_REALLOCATION	SCHEDULE_ID	DOMAIN_SIZES_SET 	 Migrations	Overload Mig.	avg. srv. count	cpu violations	cpu accumulation	min. servers	max. servers	slot count	avg. srv. utilization	initial placement duration	runtime
0	firstFitDemand	None	20202	0 	 0.000000 	 0.000000 	 4.050784 	 3861.000000 	 3103999 	 0 	 6 	 52694 	 34.249618 	 29 	 39026
0	firstFit	dsapp	20000	0 	 21.000000 	 0.000000 	 2.821847 	 594.000000 	 3153802 	 0 	 5 	 36800 	 46.079330 	 236 	 39123
0	firstFit	None	20004	0 	 0.000000 	 0.000000 	 5.011157 	 0.000000 	 2687615 	 0 	 6 	 71005 	 18.979098 	 20 	 42508
0	firstFitDemand	dsapp	20103	0 	 12.000000 	 0.000000 	 1.975695 	 502.000000 	 2310179 	 0 	 5 	 29173 	 41.081047 	 235 	 44302
0	bestFit	dsapp	20301	0 	 21.000000 	 0.000000 	 2.375012 	 1127.000000 	 3157420 	 0 	 5 	 33983 	 48.153035 	 197 	 42922
0	firstFitDemand	None	20203	0 	 0.000000 	 0.000000 	 3.350077 	 363.000000 	 2192897 	 0 	 6 	 46315 	 24.052037 	 2 	 41477
0	firstFitDemand	dsapp	20104	0 	 11.000000 	 0.000000 	 1.994457 	 1472.000000 	 2371210 	 0 	 5 	 27289 	 46.696505 	 19 	 41044
0	firstFit	None	20100	0 	 0.000000 	 0.000000 	 4.924007 	 8.000000 	 3128476 	 0 	 6 	 69766 	 23.422569 	 2 	 42507
0	firstFit	dsapp	20001	0 	 24.000000 	 0.000000 	 2.733805 	 1786.000000 	 3552347 	 0 	 6 	 39580 	 48.965840 	 17 	 43436
0	bestFit	dsapp	20302	0 	 23.000000 	 0.000000 	 2.672737 	 1988.000000 	 3526366 	 0 	 5 	 38488 	 48.947109 	 16 	 43200
0	firstFitDemand	None	20204	0 	 0.000000 	 0.000000 	 2.747106 	 4096.000000 	 3216913 	 0 	 5 	 38246 	 43.786254 	 3 	 41767
0	firstFitDemand	dsapp	20200	0 	 10.000000 	 0.000000 	 2.046244 	 682.000000 	 2265218 	 0 	 5 	 24315 	 47.192136 	 16 	 35650
0	firstFit	None	20101	0 	 0.000000 	 0.000000 	 4.969632 	 23.000000 	 2575129 	 0 	 6 	 69087 	 20.591995 	 3 	 41704
0	firstFit	dsapp	20002	0 	 22.000000 	 0.000000 	 2.830138 	 2590.000000 	 3515753 	 0 	 6 	 33899 	 57.968308 	 13 	 35933
0	bestFit	dsapp	20303	0 	 21.000000 	 0.000000 	 2.593948 	 809.000000 	 2863527 	 0 	 5 	 36898 	 40.558232 	 19 	 42674
0	firstFitDemand	dsapp	20201	0 	 13.000000 	 0.000000 	 2.231197 	 2952.000000 	 2865377 	 0 	 5 	 30932 	 47.011732 	 15 	 41591
0	firstFit	None	20102	0 	 0.000000 	 0.000000 	 5.166257 	 0.000000 	 4861858 	 0 	 6 	 75530 	 32.185343 	 3 	 43860
0	firstFit	dsapp	20003	0 	 24.000000 	 0.000000 	 2.452298 	 675.000000 	 2603396 	 0 	 6 	 34276 	 40.671263 	 16 	 41935
