RUN	STRATEGY_PLACEMENT	STRATEGY_REALLOCATION	SCHEDULE_ID	DOMAIN_SIZES_SET 	 Migrations	Overload Mig.	avg. srv. count	cpu violations	cpu accumulation	min. servers	max. servers	slot count	avg. srv. utilization	initial placement duration	runtime
0	firstFit	None	30000	1 	 0.000000 	 0.000000 	 9.914370 	 0.000000 	 124956 	 0 	 19 	 3509 	 21.649017 	 9 	 106016
0	firstFitDemand	None	30920	2 	 0.000000 	 0.000000 	 8.818458 	 0.000000 	 140654 	 0 	 16 	 3995 	 20.108027 	 6 	 135857
0	firstFit	None	30001	1 	 0.000000 	 0.000000 	 10.375470 	 0.000000 	 111481 	 0 	 22 	 3744 	 18.839500 	 3 	 108184
0	firstFit	None	30504	2 	 0.000000 	 0.000000 	 3.306717 	 0.000000 	 122884 	 0 	 9 	 3973 	 16.945298 	 7 	 360746
0	firstFit	None	31008	1 	 0.000000 	 0.000000 	 20.017221 	 0.000000 	 733984 	 0 	 61 	 22096 	 21.135687 	 7 	 331091
0	firstFitDemand	None	30416	1 	 0.000000 	 0.000000 	 2.663179 	 6.000000 	 106261 	 0 	 8 	 3192 	 22.873472 	 6 	 360315
0	firstFit	None	30002	1 	 0.000000 	 0.000000 	 10.778678 	 0.000000 	 119704 	 0 	 21 	 3578 	 20.833520 	 3 	 99639
0	firstFitDemand	None	30921	2 	 0.000000 	 0.000000 	 10.232141 	 0.000000 	 152807 	 0 	 19 	 4020 	 20.176624 	 3 	 117637
0	firstFit	None	30003	1 	 0.000000 	 0.000000 	 9.280620 	 0.000000 	 101223 	 0 	 16 	 3456 	 18.985890 	 3 	 111427
0	firstFit	None	31512	2 	 0.000000 	 0.000000 	 11.976772 	 0.000000 	 676698 	 0 	 26 	 20977 	 17.583790 	 4 	 525354
0	firstFitDemand	None	31424	1 	 0.000000 	 0.000000 	 8.307048 	 25.000000 	 663320 	 0 	 15 	 15575 	 25.724798 	 5 	 562500
0	firstFit	None	31009	1 	 0.000000 	 0.000000 	 35.545575 	 0.000000 	 777096 	 0 	 65 	 24170 	 21.198302 	 3 	 203949
0	firstFitDemand	None	30922	2 	 0.000000 	 0.000000 	 8.459389 	 0.000000 	 159151 	 0 	 16 	 3995 	 21.012226 	 3 	 141336
0	firstFit	None	30004	1 	 0.000000 	 0.000000 	 10.512526 	 0.000000 	 108848 	 0 	 18 	 3850 	 17.894193 	 5 	 109768
0	firstFit	None	30505	2 	 0.000000 	 0.000000 	 3.396919 	 0.000000 	 108947 	 0 	 9 	 3563 	 16.357817 	 3 	 314119
0	firstFitDemand	None	30417	1 	 0.000000 	 0.000000 	 2.382346 	 9.000000 	 103255 	 0 	 6 	 3071 	 21.463274 	 4 	 387206
0	firstFit	None	30005	1 	 0.000000 	 0.000000 	 10.732217 	 0.000000 	 107917 	 0 	 21 	 3635 	 18.371973 	 3 	 101522
0	firstFit	None	31010	1 	 0.000000 	 0.000000 	 32.148856 	 0.000000 	 771832 	 0 	 63 	 22373 	 22.340839 	 4 	 208703
0	firstFitDemand	None	30923	2 	 0.000000 	 0.000000 	 9.430645 	 3.000000 	 148157 	 0 	 17 	 4443 	 19.108336 	 4 	 141506
0	firstFit	None	30006	1 	 0.000000 	 0.000000 	 11.535439 	 0.000000 	 106959 	 0 	 21 	 3652 	 17.699055 	 3 	 95041
0	firstFit	None	30007	1 	 0.000000 	 0.000000 	 10.052466 	 0.000000 	 107349 	 0 	 18 	 3438 	 19.483925 	 3 	 102572
0	firstFit	None	30506	2 	 0.000000 	 0.000000 	 3.041121 	 0.000000 	 110434 	 0 	 9 	 3842 	 16.710376 	 3 	 378852
0	firstFitDemand	None	30924	2 	 0.000000 	 0.000000 	 10.295120 	 13.000000 	 133382 	 0 	 19 	 4192 	 18.090187 	 3 	 122433
0	firstFit	None	31011	1 	 0.000000 	 0.000000 	 26.583114 	 0.000000 	 638252 	 0 	 60 	 20772 	 17.689146 	 3 	 234450
0	firstFitDemand	None	30418	1 	 0.000000 	 0.000000 	 2.493533 	 0.000000 	 88470 	 0 	 7 	 3048 	 18.036347 	 36 	 365596
0	firstFit	None	30008	1 	 0.000000 	 0.000000 	 10.165886 	 0.000000 	 111637 	 0 	 21 	 3582 	 19.632505 	 3 	 105707
0	firstFit	None	31513	2 	 0.000000 	 0.000000 	 9.974669 	 0.000000 	 712683 	 0 	 19 	 20929 	 17.910051 	 3 	 629263
0	firstFitDemand	None	31500	2 	 0.000000 	 0.000000 	 11.508727 	 13.000000 	 724421 	 0 	 24 	 20656 	 18.102493 	 4 	 538565
0	firstFit	None	30009	1 	 0.000000 	 0.000000 	 11.583168 	 0.000000 	 116581 	 0 	 20 	 3769 	 21.677548 	 3 	 97568
0	firstFit	None	30507	2 	 0.000000 	 0.000000 	 3.306258 	 0.000000 	 107382 	 0 	 9 	 3716 	 16.362703 	 6 	 337019
0	firstFit	None	31012	1 	 0.000000 	 0.000000 	 31.267944 	 0.000000 	 683262 	 0 	 60 	 21742 	 19.739191 	 3 	 208588
0	firstFit	None	30010	1 	 0.000000 	 0.000000 	 10.891585 	 0.000000 	 110612 	 0 	 18 	 3351 	 20.310299 	 3 	 92163
0	firstFit	None	30011	1 	 0.000000 	 0.000000 	 11.791072 	 0.000000 	 114356 	 0 	 22 	 3780 	 18.856642 	 3 	 96333
0	firstFitDemand	None	30419	1 	 0.000000 	 0.000000 	 2.358621 	 4.000000 	 125195 	 0 	 5 	 3005 	 25.322903 	 6 	 381582
0	firstFitDemand	None	31000	1 	 0.000000 	 0.000000 	 20.254421 	 208.000000 	 739499 	 0 	 42 	 17184 	 26.180498 	 3 	 254472
0	firstFit	None	31013	1 	 0.000000 	 0.000000 	 35.112188 	 0.000000 	 632841 	 0 	 61 	 21754 	 17.805452 	 2 	 185886
0	firstFit	None	30012	1 	 0.000000 	 0.000000 	 10.485253 	 0.000000 	 105984 	 0 	 22 	 3413 	 18.468127 	 3 	 97693
0	firstFit	None	31514	2 	 0.000000 	 0.000000 	 11.887853 	 0.000000 	 754509 	 0 	 24 	 22020 	 19.107983 	 3 	 555648
0	firstFit	None	30508	2 	 0.000000 	 0.000000 	 3.176448 	 0.000000 	 110755 	 0 	 8 	 3891 	 16.548311 	 3 	 367611
0	firstFit	None	30013	1 	 0.000000 	 0.000000 	 10.743366 	 0.000000 	 99018 	 0 	 20 	 3568 	 17.312097 	 3 	 99544
0	firstFitDemand	None	31501	2 	 0.000000 	 0.000000 	 10.215474 	 18.000000 	 772602 	 0 	 20 	 19207 	 21.450432 	 9 	 563836
0	firstFit	None	30014	1 	 0.000000 	 0.000000 	 11.836286 	 0.000000 	 123665 	 0 	 21 	 4125 	 20.269520 	 3 	 104544
0	firstFit	None	31014	1 	 0.000000 	 0.000000 	 28.056145 	 0.000000 	 648944 	 0 	 59 	 21723 	 18.404866 	 3 	 232293
0	firstFitDemand	None	30420	1 	 0.000000 	 0.000000 	 2.405397 	 0.000000 	 108241 	 0 	 6 	 2983 	 21.367790 	 9 	 371482
0	firstFitDemand	None	31001	1 	 0.000000 	 0.000000 	 22.189899 	 87.000000 	 630949 	 0 	 42 	 16011 	 25.488007 	 4 	 216455
0	firstFit	None	30015	1 	 0.000000 	 0.000000 	 10.876240 	 0.000000 	 110197 	 0 	 20 	 3548 	 19.674091 	 3 	 98108
0	firstFit	None	30509	2 	 0.000000 	 0.000000 	 2.997323 	 0.000000 	 107648 	 0 	 8 	 3722 	 16.025503 	 3 	 372840
0	firstFit	None	30016	1 	 0.000000 	 0.000000 	 10.110210 	 0.000000 	 105238 	 0 	 17 	 3446 	 19.473657 	 2 	 102365
0	firstFit	None	31015	1 	 0.000000 	 0.000000 	 26.115516 	 0.000000 	 619759 	 0 	 63 	 20930 	 18.345824 	 3 	 240313
0	firstFitDemand	None	30421	1 	 0.000000 	 0.000000 	 2.900017 	 7.000000 	 116325 	 0 	 7 	 3303 	 21.287629 	 3 	 341845
