RUN	SCHEDULE_ID	DOMAIN_SIZES_SET 	 STRATEGY_PLACEMENT 	 STRATEGY_REALLOCATION 	 max. servers 	 avg. srv. count
0	30020	1 	 LowerBound 	 None 	 20.000000 	 9.904674
0	30020	1 	 LowerBoundDemand 	 None 	 15.000000 	 6.710642
0	30010	1 	 LowerBound 	 None 	 16.000000 	 9.759403
0	30010	1 	 LowerBoundDemand 	 None 	 12.000000 	 6.701878
0	30115	2 	 LowerBound 	 None 	 16.000000 	 8.837967
0	30115	2 	 LowerBoundDemand 	 None 	 13.000000 	 7.276495
0	30105	2 	 LowerBound 	 None 	 19.000000 	 8.905049
0	30105	2 	 LowerBoundDemand 	 None 	 16.000000 	 7.294679
0	30000	1 	 LowerBound 	 None 	 18.000000 	 8.639820
0	30000	1 	 LowerBoundDemand 	 None 	 12.000000 	 5.757132
0	30210	1 	 LowerBound 	 None 	 40.000000 	 14.689194
0	30210	1 	 LowerBoundDemand 	 None 	 27.000000 	 9.764987
0	30315	2 	 LowerBound 	 None 	 43.000000 	 18.368774
0	30315	2 	 LowerBoundDemand 	 None 	 35.000000 	 15.003173
0	30200	1 	 LowerBound 	 None 	 50.000000 	 23.034669
0	30200	1 	 LowerBoundDemand 	 None 	 32.000000 	 15.113193
0	30305	2 	 LowerBound 	 None 	 47.000000 	 24.836552
0	30305	2 	 LowerBoundDemand 	 None 	 39.000000 	 20.222321
0	30220	1 	 LowerBound 	 None 	 61.000000 	 27.162677
0	30220	1 	 LowerBoundDemand 	 None 	 41.000000 	 18.347258
0	30021	1 	 LowerBound 	 None 	 17.000000 	 8.421458
0	30021	1 	 LowerBoundDemand 	 None 	 12.000000 	 5.700001
0	30011	1 	 LowerBound 	 None 	 20.000000 	 10.577476
0	30011	1 	 LowerBoundDemand 	 None 	 13.000000 	 7.149694
0	30116	2 	 LowerBound 	 None 	 15.000000 	 9.890811
0	30116	2 	 LowerBoundDemand 	 None 	 13.000000 	 8.130432
0	30106	2 	 LowerBound 	 None 	 15.000000 	 8.016291
0	30106	2 	 LowerBoundDemand 	 None 	 12.000000 	 6.606690
0	30001	1 	 LowerBound 	 None 	 20.000000 	 9.013893
0	30001	1 	 LowerBoundDemand 	 None 	 14.000000 	 6.112431
0	30221	1 	 LowerBound 	 None 	 51.000000 	 26.993810
0	30221	1 	 LowerBoundDemand 	 None 	 34.000000 	 17.942758
0	30201	1 	 LowerBound 	 None 	 59.000000 	 20.488604
0	30201	1 	 LowerBoundDemand 	 None 	 38.000000 	 13.431195
0	30211	1 	 LowerBound 	 None 	 58.000000 	 20.306894
0	30211	1 	 LowerBoundDemand 	 None 	 39.000000 	 13.431462
0	30316	2 	 LowerBound 	 None 	 54.000000 	 21.502028
0	30316	2 	 LowerBoundDemand 	 None 	 43.000000 	 17.520645
0	30306	2 	 LowerBound 	 None 	 44.000000 	 14.917791
0	30306	2 	 LowerBoundDemand 	 None 	 36.000000 	 12.158932
0	30022	1 	 LowerBound 	 None 	 20.000000 	 10.874580
0	30022	1 	 LowerBoundDemand 	 None 	 13.000000 	 7.249309
0	30012	1 	 LowerBound 	 None 	 20.000000 	 9.304914
0	30012	1 	 LowerBoundDemand 	 None 	 14.000000 	 6.371802
0	30107	2 	 LowerBound 	 None 	 16.000000 	 9.121626
0	30107	2 	 LowerBoundDemand 	 None 	 13.000000 	 7.468181
0	30117	2 	 LowerBound 	 None 	 16.000000 	 8.531876
0	30117	2 	 LowerBoundDemand 	 None 	 13.000000 	 7.042078
0	30002	1 	 LowerBound 	 None 	 18.000000 	 9.459386
0	30002	1 	 LowerBoundDemand 	 None 	 13.000000 	 6.466048
0	30317	2 	 LowerBound 	 None 	 49.000000 	 18.812610
0	30317	2 	 LowerBoundDemand 	 None 	 40.000000 	 15.379010
0	30222	1 	 LowerBound 	 None 	 54.000000 	 22.807891
0	30222	1 	 LowerBoundDemand 	 None 	 34.000000 	 14.738434
0	30307	2 	 LowerBound 	 None 	 47.000000 	 15.255725
0	30307	2 	 LowerBoundDemand 	 None 	 38.000000 	 12.321775
0	30202	1 	 LowerBound 	 None 	 50.000000 	 20.122521
0	30202	1 	 LowerBoundDemand 	 None 	 33.000000 	 13.070665
0	30212	1 	 LowerBound 	 None 	 55.000000 	 22.154605
0	30212	1 	 LowerBoundDemand 	 None 	 37.000000 	 14.767273
0	30023	1 	 LowerBound 	 None 	 16.000000 	 8.082228
0	30023	1 	 LowerBoundDemand 	 None 	 11.000000 	 5.509307
0	30013	1 	 LowerBound 	 None 	 18.000000 	 9.510138
0	30013	1 	 LowerBoundDemand 	 None 	 12.000000 	 6.523146
0	30118	2 	 LowerBound 	 None 	 19.000000 	 8.710704
0	30118	2 	 LowerBoundDemand 	 None 	 15.000000 	 7.139365
0	30108	2 	 LowerBound 	 None 	 16.000000 	 8.525329
0	30108	2 	 LowerBoundDemand 	 None 	 13.000000 	 6.993364
0	30003	1 	 LowerBound 	 None 	 16.000000 	 8.196789
0	30003	1 	 LowerBoundDemand 	 None 	 12.000000 	 5.634323
0	30308	2 	 LowerBound 	 None 	 46.000000 	 21.153234
0	30308	2 	 LowerBoundDemand 	 None 	 37.000000 	 17.237019
0	30318	2 	 LowerBound 	 None 	 50.000000 	 16.136717
0	30318	2 	 LowerBoundDemand 	 None 	 41.000000 	 13.195159
0	30223	1 	 LowerBound 	 None 	 56.000000 	 21.121458
0	30223	1 	 LowerBoundDemand 	 None 	 36.000000 	 13.904906
0	30203	1 	 LowerBound 	 None 	 53.000000 	 19.429162
0	30203	1 	 LowerBoundDemand 	 None 	 35.000000 	 12.892438
0	30213	1 	 LowerBound 	 None 	 51.000000 	 19.128142
0	30213	1 	 LowerBoundDemand 	 None 	 34.000000 	 12.737351
0	30024	1 	 LowerBound 	 None 	 17.000000 	 9.546432
0	30024	1 	 LowerBoundDemand 	 None 	 12.000000 	 6.515485
0	30014	1 	 LowerBound 	 None 	 19.000000 	 10.379243
0	30014	1 	 LowerBoundDemand 	 None 	 13.000000 	 7.014656
0	30119	2 	 LowerBound 	 None 	 16.000000 	 8.425093
0	30119	2 	 LowerBoundDemand 	 None 	 13.000000 	 6.908248
0	30109	2 	 LowerBound 	 None 	 17.000000 	 10.459156
0	30109	2 	 LowerBoundDemand 	 None 	 14.000000 	 8.554885
0	30004	1 	 LowerBound 	 None 	 16.000000 	 9.228664
0	30004	1 	 LowerBoundDemand 	 None 	 11.000000 	 6.245872
0	30309	2 	 LowerBound 	 None 	 49.000000 	 19.989067
0	30309	2 	 LowerBoundDemand 	 None 	 40.000000 	 16.291095
0	30319	2 	 LowerBound 	 None 	 50.000000 	 20.711734
0	30319	2 	 LowerBoundDemand 	 None 	 41.000000 	 16.873161
0	30204	1 	 LowerBound 	 None 	 64.000000 	 26.559101
0	30204	1 	 LowerBoundDemand 	 None 	 42.000000 	 17.496630
0	30214	1 	 LowerBound 	 None 	 54.000000 	 21.811594
0	30214	1 	 LowerBoundDemand 	 None 	 36.000000 	 14.554723
0	30224	1 	 LowerBound 	 None 	 57.000000 	 20.865100
0	30224	1 	 LowerBoundDemand 	 None 	 39.000000 	 13.984379
0	30100	2 	 LowerBound 	 None 	 16.000000 	 8.179290
0	30100	2 	 LowerBoundDemand 	 None 	 13.000000 	 6.744518
0	30015	1 	 LowerBound 	 None 	 18.000000 	 9.598039
0	30015	1 	 LowerBoundDemand 	 None 	 12.000000 	 6.575926
0	30120	2 	 LowerBound 	 None 	 16.000000 	 8.013083
0	30120	2 	 LowerBoundDemand 	 None 	 13.000000 	 6.623548
0	30110	2 	 LowerBound 	 None 	 16.000000 	 8.510320
0	30110	2 	 LowerBoundDemand 	 None 	 13.000000 	 6.965995
0	30005	1 	 LowerBound 	 None 	 19.000000 	 9.478817
0	30005	1 	 LowerBoundDemand 	 None 	 14.000000 	 6.473667
0	30310	2 	 LowerBound 	 None 	 52.000000 	 20.176547
0	30310	2 	 LowerBoundDemand 	 None 	 42.000000 	 16.404986
0	30320	2 	 LowerBound 	 None 	 45.000000 	 19.139205
0	30320	2 	 LowerBoundDemand 	 None 	 36.000000 	 15.653459
0	30205	1 	 LowerBound 	 None 	 53.000000 	 21.955688
0	30205	1 	 LowerBoundDemand 	 None 	 36.000000 	 14.513528
0	30300	2 	 LowerBound 	 None 	 46.000000 	 22.175285
0	30300	2 	 LowerBoundDemand 	 None 	 38.000000 	 18.052993
0	30215	1 	 LowerBound 	 None 	 47.000000 	 20.625674
0	30215	1 	 LowerBoundDemand 	 None 	 31.000000 	 13.427187
0	30101	2 	 LowerBound 	 None 	 15.000000 	 7.861749
0	30101	2 	 LowerBoundDemand 	 None 	 12.000000 	 6.469437
0	30016	1 	 LowerBound 	 None 	 15.000000 	 8.931415
0	30016	1 	 LowerBoundDemand 	 None 	 10.000000 	 6.034174
0	30121	2 	 LowerBound 	 None 	 14.000000 	 8.030209
0	30121	2 	 LowerBoundDemand 	 None 	 11.000000 	 6.613881
0	30111	2 	 LowerBound 	 None 	 18.000000 	 9.375565
0	30111	2 	 LowerBoundDemand 	 None 	 15.000000 	 7.671406
0	30006	1 	 LowerBound 	 None 	 19.000000 	 10.255253
0	30006	1 	 LowerBoundDemand 	 None 	 14.000000 	 6.978093
0	30311	2 	 LowerBound 	 None 	 54.000000 	 20.008529
0	30311	2 	 LowerBoundDemand 	 None 	 44.000000 	 16.337480
0	30321	2 	 LowerBound 	 None 	 43.000000 	 21.971602
0	30321	2 	 LowerBoundDemand 	 None 	 35.000000 	 17.922027
0	30206	1 	 LowerBound 	 None 	 51.000000 	 22.069830
0	30206	1 	 LowerBoundDemand 	 None 	 34.000000 	 14.590347
0	30216	1 	 LowerBound 	 None 	 56.000000 	 21.674201
0	30216	1 	 LowerBoundDemand 	 None 	 39.000000 	 14.494135
0	30301	2 	 LowerBound 	 None 	 51.000000 	 20.731554
0	30301	2 	 LowerBoundDemand 	 None 	 41.000000 	 16.836012
0	30102	2 	 LowerBound 	 None 	 19.000000 	 8.147643
0	30102	2 	 LowerBoundDemand 	 None 	 16.000000 	 6.666180
0	30017	1 	 LowerBound 	 None 	 22.000000 	 10.537367
0	30017	1 	 LowerBoundDemand 	 None 	 15.000000 	 7.347562
0	30122	2 	 LowerBound 	 None 	 16.000000 	 8.615433
0	30122	2 	 LowerBoundDemand 	 None 	 13.000000 	 7.068270
0	30112	2 	 LowerBound 	 None 	 15.000000 	 8.382083
0	30112	2 	 LowerBoundDemand 	 None 	 12.000000 	 6.873105
0	30007	1 	 LowerBound 	 None 	 17.000000 	 8.985461
0	30007	1 	 LowerBoundDemand 	 None 	 12.000000 	 6.134735
0	30312	2 	 LowerBound 	 None 	 54.000000 	 20.935585
0	30312	2 	 LowerBoundDemand 	 None 	 44.000000 	 17.047210
0	30322	2 	 LowerBound 	 None 	 49.000000 	 17.471169
0	30322	2 	 LowerBoundDemand 	 None 	 40.000000 	 14.222130
0	30207	1 	 LowerBound 	 None 	 45.000000 	 20.634673
0	30207	1 	 LowerBoundDemand 	 None 	 29.000000 	 13.577475
0	30217	1 	 LowerBound 	 None 	 52.000000 	 27.588896
0	30217	1 	 LowerBoundDemand 	 None 	 35.000000 	 18.528169
0	30302	2 	 LowerBound 	 None 	 49.000000 	 16.156136
0	30302	2 	 LowerBoundDemand 	 None 	 40.000000 	 13.203539
0	30103	2 	 LowerBound 	 None 	 14.000000 	 8.346521
0	30103	2 	 LowerBoundDemand 	 None 	 11.000000 	 6.860318
0	30018	1 	 LowerBound 	 None 	 18.000000 	 9.840545
0	30018	1 	 LowerBoundDemand 	 None 	 13.000000 	 6.905746
