schedule_id 	 launches	inter_arrival	lifetime	domain_size
30000 	 300	(300, 120)	(3600, 1800)	1 
30100 	 300	(300, 120)	(3600, 1800)	2 
30200 	 300	(300, 120)	(21600, 10800)	1 
30300 	 300	(300, 120)	(21600, 10800)	2 
30400 	 300	(1200, 600)	(3600, 1800)	1 
30500 	 300	(1200, 600)	(3600, 1800)	2 
30600 	 300	(1200, 600)	(21600, 10800)	1 
30700 	 300	(1200, 600)	(21600, 10800)	2 
30800 	 400	(300, 120)	(3600, 1800)	1 
30900 	 400	(300, 120)	(3600, 1800)	2 
31000 	 400	(300, 120)	(21600, 10800)	1 
31100 	 400	(300, 120)	(21600, 10800)	2 
31200 	 400	(1200, 600)	(3600, 1800)	1 
31300 	 400	(1200, 600)	(3600, 1800)	2 
31400 	 400	(1200, 600)	(21600, 10800)	1 
31500 	 400	(1200, 600)	(21600, 10800)	2 
